CAN_ID_HEX	CAN_ID_NAME	CAN_ID_NAME (Translated)	DIAG_ID_HEX	SG_NAME
0x00	unbekannt	unknown	0x00	Sender unbekannt
0xA8	Drehmoment 1 K-CAN [10]	Torque 1 K-CAN [10]	0x12	DME1/DDE1
0xA9	Drehmoment 2 (10)	Torque 2 (10)	0x12	DME1/DDE1
0xAA	Drehmoment 3 K-CAN [10]	Torque 3 K-CAN [10]	0x12	DME1/DDE1
0xAC	Radmoment Antriebsstrang 2 [5]	Wheel torque Drive train 2 [5]	0x12	DME1/DDE1
0xAD	Verzögerungsanforderung ACC [9]	Delay request ACC [9]	0x1C	LDM
0xAD	Verzögerungsanforderung ACC [9]	Delay request ACC [9]	0x21	ACC_Modul/ACC+NAVI
0xB3	Steuerung Lenkunterstützung [2]	Steering assistance steering [2]	0x16	AFS
0xB4	Radmoment Antriebsstrang 1 [4]	Wheel torque Drive train 1 [4]	0x12	DME1/DDE1
0xB5	Drehmomentanforderung EGS [9]	Torque demand EGS [9]	0x18	EGS_MECH+NAVI/EGS_MECH
0xB6	Drehmomentanforderung DSC [7]	Torque demand DSC [7]	0x29	DXC_RB/DSC_RB/DSC_CT
0xB7	Drehmomentanforderung ACC [10]	Torque demand ACC [10]	0x1C	LDM
0xB7	Drehmomentanforderung ACC [10]	Torque demand ACC [10]	0x21	ACC_Modul/ACC+NAVI
0xB8	Drehmomentanforderung DKG [2]	Torque requirement DKG [2]	0x18	DKG
0xB9	Drehmomentanforderung AFS [3]	Torque demand AFS [3]	0x16	AFS
0xBA	Getriebedaten [20]	Transmission data [20]	0x18	SMG_M/SMG/EGS_MECH+NAVI/EGS_MECH/DKG
0xBB	Sollmomentanforderung [7]	Required torque request [7]	0x29	DXC_RB
0xBC	Status Sollmomentumsetzung [7]	Status setpoint torque conversion [7]	0x19	VGSG
0xBD	Drehmomentanforderung SSG [6]	Torque demand SSG [6]	0x18	SMG_M/SMG
0xBE	Alive Zähler [12]	Alive counters [12]	0x23	ARS_Modul
0xBF	Anforderung Radmoment Antriebsstrang [6]	Requirement wheel torque Drive train [6]	0x1C	LDM
0xC0	Alive Zentrales Gateway [1]	Alive Central Gateway [1]	0x0	KGM
0xC1	Alive Zähler Telefon [3]	Alive counter phone [3]	0x36	TEL_JAP/TEL_BPI
0xC4	Lenkradwinkel K-CAN [13]	Steering wheel angle K-CAN [13]	0x29	DXC_RB/DSC_RB/DSC_CT
0xC8	Lenkradwinkel Oben K-CAN [6]	Steering wheel angle Top K-CAN [6]	0x2	SZL_LWS
0xCE	Radgeschwindigkeit K-CAN [4]	Wheel speed K-CAN [4]	0x29	DXC_RB/DSC_RB/DSC_CT
0xD2	Bedienung Sitzverstellung BF [6]	Operation Seat adjustment BF [6]	0x65	SZM_MIT_KBUS/SZM
0xD5	Anforderung Radmoment Bremse [6]	Wheel torque brake requirement [6]	0x1C	LDM
0xD7	Alive Zähler Sicherheit [2]	Alive counter security [2]	0x1	ACSM
0xDA	Bedienung Sitzverstellung FA [6]	Operation Seat adjustment FA [6]	0x65	SZM_MIT_KBUS/SZM
0xE1	Radmoment Bremse [3]	Wheel torque brake [3]	0x29	DXC_RB/DSC_RB
0xE2	Status Zentralverriegelung BFT [11]	Status Central locking system BFT [11]	0x0	KGM
0xE6	Status Zentralverriegelung BFTH [11]	Status Central locking BFTH [11]	0x72	KBM
0xEA	Status Zentralverriegelung FAT [11]	Status Central locking FAT [11]	0x0	KGM
0xEE	Status Zentralverriegelung FATH [11]	Status Central locking FATH [11]	0x72	KBM
0xF2	Status Zentralverriegelung HK [13]	Status Central locking HK [13]	0x72	KBM
0xF6	Steuerung Außenspiegel [9]	Steering wheel mirrors [9]	0x0	KGM
0xFA	Steuerung Fensterheber FAT [10]	Control window lifters FAT [10]	0x0	KGM
0xFB	Steuerung Fensterheber BFT [5]	Control window lifters BFT [5]	0x0	KGM
0xFC	Steuerung Fensterheber FATH [5]	FATH Control Window Regulators [5]	0x72	KBM
0xFD	Steuerung Fensterheber BFTH [5]	Control window lifters BFTH [5]	0x72	KBM
0x130	Klemmenstatus [19]	Terminal status [19]	0x40	CAS
0x135	Steuerung Crashabschaltung EKP [1]	Control Crash Disconnection EKP [1]	0x1	ACSM
0x15F	Anforderung Winkel FFP [6]	Request angle FFP [6]	0x1C	LDM
0x172	Quittierung Anforderung Kombi [1]	Acknowledgment request Combi [1]	0x62	M_ASK/CCC_GW
0x190	Anzeige ACC [13]	Display ACC [13]	0x1C	LDM
0x190	Anzeige ACC [13]	Display ACC [13]	0x21	ACC_Modul/ACC+NAVI
0x192	Bedienung Getriebewahlschalter [16]	Operation Gear selector switch [16]	0x2	SZL_LWS
0x193	Anzeige ACC DCC [4]	Display ACC DCC [4]	0x1C	LDM
0x194	Bedienung Tempomat/ACC [13]	Operation Tempomat / ACC [13]	0x2	SZL_LWS
0x198	Bedienung Getriebewahlschalter 2 [2]	Operation Gear selector switch 2 [2]	0x5E	GWS
0x19E	Status DSC K-CAN [19]	Status DSC K-CAN [19]	0x29	DXC_RB/DSC_RB/DSC_CT
0x1A0	Geschwindigkeit K-CAN [14]	Speed ​​K-CAN [14]	0x29	DXC_RB/DSC_RB/DSC_CT
0x1A2	Getriebedaten 2 [6]	Transmission data 2 [6]	0x18	EGS_MECH+NAVI/EGS_MECH/DKG
0x1A3	Rohdaten Längsbeschleunigung [3]	Raw data longitudinal acceleration [3]	0x18	SMG_M
0x1A6	Wegstrecke [6]	Distance [6]	0x29	DXC_RB/DSC_RB/DSC_CT
0x1AA	Effekt ErgoCommander [10]	Effect ErgoCommander [10]	0x62	M_ASK/CCC_GW
0x1AC	Status ARS-Modul [13]	Status ARS module [13]	0x23	ARS_Modul
0x1B4	Status Kombi [14]	Status Combine [14]	0x60	Kombi
0x1B5	Wärmestrom/Lastmoment Klima [14]	Heat flow / load moment Climate [14]	0x78	IHKA
0x1B6	Wärmestrom Motor [11]	Heat flow motor [11]	0x12	DME1/DDE1
0x1B8	Bedienung ErgoCommander [6]	Operation ErgoCommander [6]	0x67	ZBE_LO/ZBE
0x1C2	Abstandsmeldung PDC [5]	Distance indication PDC [5]	0x64	PDC
0x1C3	Abstandsmeldung 2 PDC [3]	Distance indication 2 PDC [3]	0x64	PDC
0x1C6	Akustikmeldung PDC [5]	Acoustic message PDC [5]	0x64	PDC
0x1D0	Motordaten [13]	Motor data [13]	0x12	DME1/DDE1
0x1D2	Anzeige Getriebedaten [22]	Transmission data display [22]	0x18	SMG_M/SMG/EGS_MECH+NAVI/EGS_MECH/DKG
0x1D6	Bedienung Taster Audio/Telefon [12]	Audio / phone control buttons [12]	0x2	SZL_LWS
0x1D8	Bedienung Klima Luftverteilung FA [13]	Operation Climate air distribution FA [13]	0x62	M_ASK/CCC_GW
0x1D9	Bedienung Taster M-Drive [2]	Operating buttons M-Drive [2]	0x2	SZL_LWS
0x1DA	Bedienung Klima Fernwirken [5]	Operation Climate Telecontrol [5]	0x40	CAS
0x1DC	Bedienung Schichtung Sitzheizung [1]	Operation layering Seat heating [1]	0x62	M_ASK/CCC_GW
0x1E0	Bedienung Klima Luftverteilung BF [7]	Operation Climate air distribution BF [7]	0x62	M_ASK/CCC_GW
0x1E2	Bedienung Klima Front [11]	Operation Climate Front [11]	0x62	M_ASK/CCC_GW
0x1E7	Bedienung Sitzheizung/Sitzklima FA [7]	Operation seat heating / seat climate FA [7]	0x65	SZM_MIT_KBUS/SZM
0x1E8	Bedienung Sitzheizung/Sitzklima BF [7]	Operation seat heating / seating climate BF [7]	0x65	SZM_MIT_KBUS/SZM
0x1EA	Bedienung Lenksäulenverstellung [5]	Operation Steering column adjustment [5]	0x2	SZL_LWS
0x1EB	Bedienung Aktivsitz FA [3]	Operation Active seat FA [3]	0x65	SZM_MIT_KBUS/SZM
0x1EC	Bedienung Aktivsitz BF [3]	Operation Active seat BF [3]	0x65	SZM_MIT_KBUS/SZM
0x1ED	Bedienung Lehnenbreitenverstellung Aktiv FA [2]	Operation of the backrest width adjustment active FA [2]	0x65	SZM_MIT_KBUS/SZM
0x1EE	Bedienung Lenkstockstaster [6]	Steering wheel control [6]	0x2	SZL_LWS
0x1EF	Bedienung Lehnenbreitenverstellung Aktiv BF [2]	Operation Backrest width adjustment Active BF [2]	0x65	SZM_MIT_KBUS/SZM
0x1F2	Bedienung Sitzmemory BF [3]	Operation Seat memory BF [3]	0x65	SZM_MIT_KBUS/SZM
0x1F3	Bedienung Sitzmemory FA [4]	Operation Seatmemory FA [4]	0x65	SZM_MIT_KBUS/SZM
0x1F4	Fernbedienung Sitzmemory BF [2]	Remote Control Seat Memory BF [2]	0xFF	unbekannt
0x1F6	Blinken [6]	Flashing [6]	0x70	LM
0x1FC	Status AFS [4]	Status AFS [4]	0x16	AFS
0x1FE	Crash [12]	Crash [12]	0x1	ACSM
0x200	Regelgeschwindigkeit Stufentempomat [7]	Speed ​​regulation [7]	0x12	DME1/DDE1
0x202	Dimmung [10]	Dimming [10]	0x70	LM
0x205	Akustikanforderung Kombi [3]	Acoustic demand combination [3]	0x60	Kombi
0x206	Steuerung Anzeige Shiftlights [1]	Control Display Shiftlights [1]	0x12	DME1
0x20B	Memoryverstellung [6]	Memory adjustment [6]	0x65	SZM_MIT_KBUS
0x20B	Memoryverstellung [6]	Memory adjustment [6]	0x6D	SM_FA
0x20C	Steuerung Lenksäule (4)	Steering Column Control (4)	0x6D	SM_FA
0x20D	Position Lenksäule (5)	Position steering column (5)	0x65	SZM_MIT_KBUS/SZM
0x210	Bedienung HUD [7]	Operation HUD [7]	0x62	M_ASK/CCC_GW
0x211	Status HUD [7]	Status HUD [7]	0x3D	HUD
0x212	Höhenstände Luftfeder [8]	Height air spring [8]	0x38	EHC
0x21A	Lampenzustand [13]	Lamp condition [13]	0x70	LM
0x21C	Bedienung Night-Vision [2]	Operation Night-Vision [2]	0x62	CCC_GW
0x21E	Status Night-Vision [2]	Status Night-Vision [2]	0x57	NVC
0x226	Regensensor-Wischergeschwindigkeit [8]	Rain sensor wiper speed [8]	0x45	RLS
0x226	Regensensor-Wischergeschwindigkeit [8]	Rain sensor wiper speed [8]	0x70	LM
0x228	Bedienung Sonderfunktion [8]	Operation special function [8]	0x62	M_ASK/CCC_GW
0x228	Bedienung Sonderfunktion [8]	Operation special function [8]	0x63	CCC_MM
0x22A	Status BFS [10]	Status FSO [10]	0x6E	SM_BF
0x22E	Status BFSH [7]	Status BFSH [7]	0xFF	unbekannt
0x232	Status FAS [10]	Status FAS [10]	0x6D	SM_FA
0x236	Status FASH [7]	Status FASH [7]	0xFF	unbekannt
0x237	Status Lehnenbreitenverstellung Aktiv BF [3]	Status Backrest width adjustment Active BF [3]	0x5A	aLBV_BF
0x239	Status Lehnenbreitenverstellung Aktiv FA [3]	Status Backrest width adjustment Active FA [3]	0x59	aLBV_FA
0x23A	Status Funkschlüssel [13]	Status radio key [13]	0x40	CAS
0x23B	Status Klima Front Erweitert [1]	Status Climate Front Advanced [1]	0x78	IHKA
0x23C	Status Bedienung Sitzkomfort FA [1]	Status Operation Seating comfort FA [1]	0x6D	SM_FA
0x23F	Status Bedienung Sitzkomfort BF [1]	Status Operating Seating Comfort BF [1]	0x6E	SM_BF
0x242	Status Klima Front [11]	Status Climate Front [11]	0x78	IHKA
0x24A	Status PDC [6]	Status PDC [6]	0x64	PDC
0x252	Wischerstatus [8]	Wiper status [8]	0x72	KBM
0x256	Challenge Passive Access [10]	Challenge Passive Access [10]	0x40	CAS
0x258	Status Transmission Passive Access [4]	Status Transmission Passive Access [4]	0x27	PGS
0x25C	Bedienung Klima Zusatzprogramme [2]	Operating climate Additional programs [2]	0x62	M_ASK/CCC_GW
0x26B	Bedienung Rollos BF [2]	Operation Roller blinds BF [2]	0xFF	unbekannt
0x26C	Bedienung Rollos FA [2]	Operation Roller blinds FA [2]	0x0	KGM
0x26D	Bedienung Rollos MK [1]	Operation Roller blinds MK [1]	0xFF	unbekannt
0x26E	Steuerung FH/SHD Zentrale (Komfort) [10]	Control FH / SHD Central (Comfort) [10]	0x40	CAS
0x26F	Bedienung Rollos BFH [2]	Operation Roller blinds BFH [2]	0xFF	unbekannt
0x270	Bedienung Rollos FAH [2]	Operation Roller blinds FAH [2]	0xFF	unbekannt
0x278	Navigationsgraph [3]	Navigation chart [3]	0x62	CCC_GW
0x27A	Synchronisation Navigationsgraph [4]	Synchronization navigation graph [4]	0x62	CCC_GW
0x27E	Status Verdeck Cabrio [7]	Convertible top convertible top [7]	0x24	CVM_V
0x284	Steuerung Fernstart Sicherheitsfahrzeug [8]	Remote control starter safety [8]	0x40	CAS
0x285	Steuerung Rollos [3]	Control roller blinds [3]	0x65	SZM_MIT_KBUS/SZM
0x28C	Bedienung Taster Vertikaldynamik [2]	Control buttons Vertical Dynamics [2]	0x5E	GWS
0x290	Steuerung Reaktion Wasserstoff-Fahrzeug [1]	Control reaction Hydrogen vehicle [1]	0xFF	unbekannt
0x292	Steuerung Fernlicht-Assistent [2]	Steering Wheel Assistant [2]	0x5F	FLA
0x29F	Fernbedienung FondCommander [5]	Remote Control FondCommander [5]	0x40	CAS
0x2A0	Steuerung Zentralverriegelung [10]	Central locking control [10]	0x40	CAS
0x2A2	Bedienung Klima Standfunktionen [5]	Operation Air conditioner [5]	0x62	M_ASK/CCC_GW
0x2A4	Bedienung Personalisierung [8]	Operation Personalization [8]	0x62	M_ASK/CCC_GW
0x2A6	Bedienung Wischertaster [12]	Operation Wiper switch [12]	0x2	SZL_LWS
0x2B2	Raddrücke K-CAN [1]	Wheel pressure K-CAN [1]	0x29	DXC_RB/DSC_RB/DSC_CT
0x2B3	Beschleunigungsdaten [2]	Acceleration data [2]	0x29	DXC_RB/DSC_RB/DSC_CT
0x2B4	DWA-Alarm [4]	DWA alarm [4]	0x41	DWA
0x2B6	Steuerung Hupe DWA [3]	Control horn DWA [3]	0x41	DWA
0x2B8	Bedienung Bordcomputer [3]	Operation board computer [3]	0x62	M_ASK/CCC_GW
0x2BA	Stoppuhr (3)	Stopwatch (3)	0x60	Kombi
0x2C0	LCD-Leuchtdichte [7]	LCD lighting [7]	0x60	Kombi
0x2CA	Außentemperatur [9]	Outdoor temperature [9]	0x60	Kombi
0x2CE	Steuerung Monitor [4]	Control monitor [4]	0x62	M_ASK/CCC_GW
0x2D5	Status Heizung Heckscheibe [1]	Status Heating rear window [1]	0x78	IHKA
0x2DA	Status Heckklappenlift [2]	Status of tailgate lift [2]	0x6B	HKL
0x2E2	Status Einstellung Video Night-Vision [1]	Status Setting Video Night-Vision [1]	0x57	NVC
0x2E4	Status Anhänger (8)	Status Trailers (8)	0x71	AHM
0x2E6	Status Klima Luftverteilung FA [13]	Status Climate air distribution FA [13]	0x78	IHKA
0x2EA	Status Klima Luftverteilung BF [9]	Status Climate air distribution BF [9]	0x78	IHKA
0x2EC	Status Klima SH/ZH Zusatzwasserpumpe [14]	Status Climate SH / ZH Additional water pump [14]	0x7A	SH_ZH
0x2EE	Status Klima Zusatzprogramme [2]	Status of climate supplementary programs [2]	0x78	IHKA
0x2F0	Status Klima Standfunktionen [12]	Status of climate status [12]	0x78	IHKA
0x2F4	Steuerung Klima SH/ZH Zusatzwasserpumpe [13]	Control climate SH / ZH auxiliary water pump [13]	0x78	IHKA
0x2F6	Steuerung Licht [7]	Control light [7]	0x72	KBM
0x2F7	Einheiten [10]	Units [10]	0x62	M_ASK/CCC_GW
0x2F7	Einheiten [10]	Units [10]	0x63	CCC_MM
0x2F8	Uhrzeit/Datum [12]	Time / Date [12]	0x60	Kombi
